Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
0.54862129479,63.711783432,111.25521093,178.6363789,43.680144558,0
0.56750353307,65.226733576,110.30918496,178.89577737,46.301543745,0
0.59078848275,67.143329758,108.08901996,179.3367801,52.321578248,0
0.64299567485,68.746790511,103.20732859,-179.66061443,62.840081232,0
0.78763812852,70.551678032,96.301223114,-179.28691007,72.009698974,0
0.77324425157,70.553902346,96.433098441,-179.20159685,72.594629561,0
0.87673318789,70.875060665,92.859521476,-179.23930663,74.633124506,0
1.0567970831,70.813764582,87.320647219,-179.37499526,73.639415261,0
1.3161369651,69.93541865,81.336107329,-179.37079733,69.687487323,0
1.7183917472,66.003942429,73.587467069,-179.3043855,58.285483724,0
1.7999183473,65.646752102,73.192181346,-179.309045,55.732262748,0
1.9337341168,64.230406179,71.416739998,-179.35688328,49.963297247,0
2.1109959893,62.23038839,71.355464518,-179.57254957,49.177539328,0
2.1729601137,61.976261491,72.039514897,-179.70927187,52.601149419,0
2.2584090167,61.566600639,72.123241994,-179.76607442,54.762059222,0
2.2796378538,61.864640778,72.635651749,-179.74646551,58.054243878,0
2.2379116624,62.157330161,73.208457495,-179.78579712,60.439199181,0
2.1918472453,62.411507368,73.486443928,-179.67193412,62.643157795,0
2.16808783,62.476021565,73.882583195,-179.65666432,64.270214993,0
2.0748449392,63.59314232,73.834252359,-179.49151949,62.395370075,0
1.7532640436,65.54578401,77.557144914,-179.52426469,71.410491138,0
1.4522841472,68.021527239,80.945485279,-179.50172127,73.839394007,0
1.1199634155,68.876217678,87.753061751,-179.74716745,80.979518337,0
0.94111030261,68.630729204,92.14121978,179.5353773,77.841147867,0
0.76796509422,66.451095794,98.139967236,178.38910706,71.228534555,0
0.68369883611,63.419512698,101.55434954,177.66901021,66.310940008,0
0.60639482401,60.871700716,102.84383761,177.63957763,63.895820249,0
0.55732334065,59.163609457,101.80668524,177.61730407,67.20022989,0
0.52776832834,58.569986469,103.60437564,178.0709014,61.555992219,0
0.5000681312,57.284898571,106.60518606,177.99921396,51.237234594,0
0.49953210667,56.621501468,108.37769764,178.0984198,44.42590389,0
0.48442229623,57.255914157,106.45797776,178.38864209,54.168579686,0
0.47219659603,54.965856203,110.61282473,178.84901746,37.354220283,0
0.46402543315,54.315290594,111.36745988,178.90968114,34.793367643,0
0.47431045005,54.097399485,112.24636554,179.07631454,31.313315964,0
0.42948268489,53.824448461,111.49580632,179.15149438,34.638438448,0
0.4388679706,54.498332816,111.78269831,179.20821308,34.570984139,0
0.45214411172,55.261751974,111.9789908,179.32453075,34.232830676,0
0.4641832664,56.699556216,111.17382464,179.45421608,39.166607563,0
0.49594895748,60.008801952,108.22167385,179.604431,52.277264626,0
0.52785318719,61.431422429,107.83004889,179.50540838,54.02883991,0
0.56344589522,62.432176855,104.14873868,-179.85918936,64.999482328,0
0.55733776936,60.733121607,103.8015028,179.91613187,68.004360176,0
0.5682662679,60.852714326,103.49959218,179.63958753,66.818752553,0
0.59687665277,61.323702264,102.14563791,179.61168109,68.876268513,0
0.57586759886,60.556491375,101.85750862,179.56194312,69.050511031,0
0.58029209867,60.823170453,102.15627669,179.79316332,67.034404126,0
0.62925780127,62.646185457,102.03795784,179.93628702,64.519394364,0
0.62819433346,62.689096015,102.22009977,179.96383553,64.249769344,0
0.62273550865,62.594296287,102.35826212,179.95278432,64.50246917,0
0.63819151333,62.805724207,101.8044383,-179.76338333,65.485322221,0
0.62361439812,62.595075606,102.58619033,-179.74660558,64.155726507,0
0.58269576809,62.39167116,104.68030479,-179.70932552,58.210274752,0
0.58276298637,63.230745971,106.54199626,-179.77491929,53.441363666,0
0.59555908733,64.550169848,107.48076948,-179.91768605,50.74373183,0
0.58996288992,64.289616143,107.75722797,-179.91799568,50.745749758,0
0.5798371639,64.336667115,107.57818365,-179.85402887,54.515081587,0
0.66340961009,66.19908222,102.24268406,-178.6671685,64.998853761,0
0.85032710576,69.744544508,95.417902764,-178.55441853,69.267524402,0
1.0157604519,70.277966886,89.111891772,-178.06738426,71.163870242,0
1.2768911248,73.050315374,80.934587674,-177.44298499,60.03660185,0
1.4368163426,73.47913102,75.29620736,-176.81788516,53.44390929,0
